customer_id,customer_name,total_revenue,profit_margin,purchase_frequency
723572,Gaspare Trevisan,124,124,36
1925694,Fabrice Lamoureux,123,123,32
461982,Vanessa Holzman,107,107,25
1736139,Martha Thornton,103,103,23
1579183,Paul Warren,100,100,32
1972249,Claire Macdonald,98,98,29
1420237,Michael Hermes,95,95,22
1286602,Frances Colbert,95,95,23
1388023,David Breton,95,95,27
1638118,Lillian Evans,93,93,26
924975,Kayleigh Power,93,93,20
1610098,Sara Christensen,93,93,24
1942072,Victor Kristensen,92,92,29
2080484,Delmer Martinez,88,88,29
1439502,Wayne Long,86,86,24
1124706,Spencer Fraser,86,86,17
1543325,Marlene Merritt,85,85,23
382960,Velia Phillips,85,85,28
1523982,Robert Nelsen,84,84,26
1472319,Christopher Yancy,83,83,21
1110691,Anna Knight,83,83,15
1493457,Marcos McMichael,82,82,23
1492176,Margaret Mattson,82,82,29
1849306,Chad Coon,82,82,27
1561454,Esther Guidry,81,81,20
1588361,Gavin Kent,81,81,19
1057055,Kyle Dixon,81,81,25
1087732,Michael Robertson,80,80,22
780974,Maurizia Pirozzi,80,80,27
1883496,Florence Badger,79,79,19
1521733,Lisa Sherman,79,79,29
2098223,Hansine Davidsen,78,78,18
2079677,Jensen Brown,78,78,21
454774,Paul Frueh,77,77,18
1098687,Edward Rose,76,76,24
478298,Juliane Duerr,75,75,24
1716357,Veronica Benford,75,75,21
1381883,Luke Watson,75,75,22
969679,Jamie Gilbert,75,75,18
1330039,Jenny Castillo,75,75,20
793686,Uriele Marcelo,75,75,28
1702221,Matthew Flemming,75,75,21
1718240,David Senn,74,74,19
1360550,Essie Scott,74,74,23
714472,Bibiana Ferri,73,73,18
1328055,Robert Smith,73,73,24
1878163,Darci Dorsey,72,72,24
1402836,Harry Ponder,71,71,20
2034922,Aubrey Audet,71,71,22
1349131,Katherine Rosales,71,71,22
1410778,Doug Dalton,71,71,21
1313113,Mercedes Leon,71,71,22
1305082,David West,70,70,22
1525193,Ronald Oconnell,70,70,21
1268661,Michael Whitehurst,70,70,19
778636,Ivo Cremonesi,70,70,18
1410548,Mark Hillman,70,70,24
522806,Ren� Fuerst,70,70,24
1589348,Andrew Jones,69,69,18
1480971,Jennifer Sutherland,69,69,18
1600419,Dorsey Nelson,69,69,21
1970893,Vito Petrovic,69,69,17
